Id,AccountNumber,OperationDate,OperationTime,Beneficiary,Comment,Amount,Currency
1,LT243300510099646277,2022-04-04,12:22:32,Darius,,35.55,EUR
2,LT243300510099646277,2022-05-05,15:42:32,Darius,,39.55,EUR
3,LT677305021128268466,2022-06-07,10:32:32,Jonas Jonaitis,,-45.55,CAD
4,LT677305021128268466,2022-06-09,22:22:32,Jonas Jonaitis,,135.55,CAD
5,LT243300510099646277,2022-07-14,13:45:32,Darius,,305.55,EUR
6,LT243300510099646277,2022-08-14,18:42:32,Asas,kitas pavedimas,-35.46,EUR
7,LT243300510099646277,2022-08-20,09:44:32,Darius,,65.55,EUR
8,LT677305021128268466,2022-08-24,17:42:32,Jonas Jonaitis,,-388.55,CAD
9,LT986534856522546633,2022-09-04,03:11:32,Marius Mariukas,,3812.55,USD
10,LT677305021128268466,2022-09-20,05:42:32,Jonas Jonaitis,,3025.25,CAD
11,LT677305021128268466,2022-09-21,12:22:32,Jonas Jonaitis,,35.55,CAD
12,LT243300510099646277,2022-09-25,15:42:32,Darius,,39.55,EUR
13,LT243300510099646277,2022-09-27,10:32:32,Darius,,-45.55,EUR
14,LT243300510099646277,2022-09-29,22:22:32,Darius,,135.55,EUR
15,LT986534856522546633,2022-10-01,13:45:32,Marius Mariukas,,305.55,USD
16,LT243300510099646277,2022-10-04,18:42:32,Asas,kitas pavedimas,-35.46,EUR
17,LT243300510099646277,2022-10-05,09:44:32,Darius,,65.55,EUR
18,LT986534856522546633,2022-10-06,17:42:32,Marius Mariukas,,-388.55,USD
19,LT235746656224365355,2022-10-09,03:11:32,Darius,,3812.55,RUB
20,LT243300510099646277,2022-10-20,05:42:32,Darius,,3025.25,EUR
